Title,reviews,stars
I needed the loan to help with my move,"I needed the loan to help with my move. I have had to refinance my loan about twice and I haven't had an issue yet. Everyone is so kind and even when I was freaking out on Friday Oct 21 they were able to calm me down, refinance my loan again and reassure me that everything is going to be fine. As long as there are no hiccups, I will continue to do business with them.",5
BEST OF THE BEST!!!,I've been dealing with this company since 2007. Some of the nicest most kind individuals I've ever met. They are professional with a personal note on the side. Patrick Takesha and Liah are my favorite people!!!!,5
They were very sweet and helpful,They were very sweet and helpful! Ms.Akia worked so quickly to get me taken care of I would definitely recommend them to someone who needs assistance quickly.,5
I have been doing business for over 4…,I have been doing business for over 4 years. I tried to renew my loan and Sierra said with new policies she could not renew my loan because of these new policies. My income has increased and I was never late. I will pay off my loan and take my business elsewhere.,1
My experience,My experience was great. Everyone was so helpful and so nice. When I need anything or have a problem they are so eager to help me with my problem. I guess that’s why I come back when ever I need anything. Thanks so much.  Branch in Greenwood South Carolina,5
Tiffany was amazing and the staff was…,"Tiffany was amazing and the staff was so friendly. When I called I could hear her smile through the phone. She was ready to help me and made me feel so comfortable. Best part was she provided amazing customer service and was able to help me. If u are in need of help I would say just call and ask for Tiffany because she was friendly, knowledgeable, and ready to help. I would highly recommend.",5
Customer service very helpful..,Customer service very helpful... Interest a little steep. The wobderful people in the office are a pleasure to do business whether on the phone or in person.,5
The ladies at Covington  in Auburn…,The ladies at Covington  in Auburn always  let me know when cash is available.  They let me sign over the phone which takes only a few minutes.  Cash is in my account the same day. Love it. They are always a pleasure to do business  with.,5
I dropped by your SS Office,"I dropped by your SS Office.  When I opened the door I was pleasantly greeted by the ladies who work there.  I am a repeated customer, so the transaction was smooth and timely.  My representative clearly explained the loan process. The transaction was quick and I was on my way.",5
THE BEST PLACE OF COVINGTON CREDIT,"The ladies were very nice and helpful, explaining things..bc I'm deaf and it's helped me to get enough to get my hearing aids and I'm grateful for them especially Ms. April.she saved my life...they will work with tyou to get what you need , payment wise and all the other stufff. Im with you covington credit!",5
I went to Southern Finance in Sumter 14…,I went to Southern Finance in Sumter 14 October 2022. I did a loan with TK and everything went smoothly. She knows her job very well. She was very nice and she has a lot of patience. I highly recommend TK. Southern Finance in Sumter is the place to go for a loan. Thank you TK for your help.,5
I was very happy how fast and easy…,I was very happy how fast and easy was..Juanita was very helpful she took me tru the process of what I needed to get the loan i needed if i put all the time since i first call to the time she handed me the check ..an hour is all it took..I highly recommend 5 stars..thanks guys ..,5
Great opportunity,"Before I became the branch manager I was a customer. This company helped me build the credit I needed, to become successful in life. All it takes is an opportunity, and I thank Covington credit for that opportunity! If your trying to build or establish credit give us a call",5
Covington Credit on Mainland,"The staff at Covington Credit on Mainland are very professional and friendly at the same time.  I felt very welcomed and comfortable there.  They are fast and efficient, and I wouldn't go any other place to get a loan.~Mary Cantu",5
The staffers were very pleasant,The staffers were very pleasant. They explained everything in detail and I was able to understand what they were explaining. They had excellent communication skills. Thank you guys so much for caring and being polite in your job.,5
False advertisement,The lady that helped me was very nice but what I was most upset about is that they advertise helping people with credit problems but I find that not true because if that was the scenario they would have found a way to help me and not run me out the door so with that said they should take that sign down it's false advertisement,1
I am so glad to be back with Covington…,I am so glad to be back with Covington (Victoria). As always they are just exceptionally wonderful people. I have dealt with Sandra for many years. Good customer service makes you wanna do right by the company. Great loud Shout-Out to Victoria Covington staff!,5
Thank you for helping,I called and wanted to renew my loan and had only a few min to get it in to receive the money that day. The girl got it sent over to me immediately and I was able to sign it and send right back to her. She posted it immediately and I got the money that afternoon. Thank you Covington credit,5
Thanks for all the help you gave me on…,"Thanks for all the help you gave me on 20th and other times you helped me out. I enjoy doing business with you and your company, Thanks So Much Talk to you soon.",5
The promptness and professionism i…,The promptness and professionism i received was outstanding. Was taken care of over the phone for refinance.,5
I have been with quick credit for a…I think 3or 4 years,I have been with quick credit for a while now every since I think 2019 I love the atmosphere and the people there here In Huntsville Al the best personalities very helpful and nice thank you they know me as Ms Massey aka Viola,5
Love the kingsville branch thank u ladies,"I would love to say thank you to Rebecca n her crew at kingsville tx branch they are really helpful n understanding very polite and always nice n with smiling faces, thank you ladies you're business",5
I can't imagine an easier loan…,"I can't imagine an easier loan experience. I wish I could remember her name, but the lady that helped me was reassuring,  friendly, and all around great!",5
Enjoy their customer service!,"I really enjoy doing business with Covington Credit. The ladies are always friendly & always helpful. They will work with you on many different levels. Always understanding as well. Will be a customer in future for anything needed. Highly recommend the Tillmans Corner, AL branch.",5
My experience here was wonderful,My experience here was wonderful. The people that work there were very nice and cheerful. Very helpful I would recommend more people to check them out. 👍🏾👍🏾👍🏾👍🏾,5
Everyone is always so nice and helpful…,Everyone is always so nice and helpful they genuine care about people when they come in even if it's in there personal life nothing to do with credit I love it there,5
Scrambling after D,I've been with Covington F for quite a long time and they have always came thru right when I needed them.  Vickie is great she has always made me feel comfortable and valued Thanks Vickie,5
I LOVE Covington Credit because they are always kind and very helpful. I'm grateful.,I LOVE Covington Credit because they  ALWAYS come through when I'm in need. I was worrying for a couple of days about a trip I needed  to take. When I finally gave up one of ladies called to see if I needed some extra money. I did and they made it happen. I AM SOOO THANKFUL. THEY ARE AWESOME.,5
Thank you once again COVINGTON for…,Thank you once again COVINGTON for always giving me another opportunity and being there when needing extra money especially now with the HORRIBLE INFLATION that we all are going through and really no none should be in DEBT just trying to SURVIVE,5
Completely satisfied …,I was completely satisfied with the service I received. The process was quick and easy to complete my loan. The representative was very helpful.,5
The Greenwood SC branch,The Greenwood SC branch is Always Fast Friendly abd Courteous! Best Customer Service!!!,5
I have enjoyed everything about my…,I have enjoyed everything about my visit at Convington. April gave me the best customer service she went above and beyond to get my issue taken care of. We need more people like April in this world and work places like Convington Credit.,5
Very friendly and fast service,My visit was good The young lady that waited on me was very friendlyThat's the way you should be when you are greeting customers Thank you Covington credit!,5
My experience was exceptional I called …,My experience was exceptional I called  In to pay  my payment and I got  my bill paid and was  offered a  loan which I  really need at this time,5
I have been borrowing money from…,I have been borrowing money from Covington Credit for a couple of years and the staff has made the process a great experience with no pressure I would refer others if they need cash they can go to Covington Credit. Jerome Patten.,5
Great Job,"I needed quick service and got just that.  Nice people, know more than 15 minutes in the office, wow!  When I needed money you will be at the top of my list!",5
The employees and managers of Quick…,The employees and managers of Quick credit are Awesome!! They are very professional and kind! I would highly recommend this company for any and all your financial needs.,5
Ms. Roxanne,Ms. Roxanne is Always ready an Amazinly Awesome to me when it comes to assisting me with and Everything I need with getting my daily account in order. Thankful for you and all you guys.I truly appreciate your support 🤗💚,5
Absolutely fabulous,"Absolutely fabulous! I have gotten several loans from Covington when I really needed help. The people in the office have changed a couple of times but were as excellent as their predecessors.  They do convenient business online as well as in the office physically. The terms are fair enough with a dew perks here and there for their customers. I highly recommend them. Yes interest is high, but when you don't have top of the line credit, this is company is a great one to do business with  as it is substantially lower in interest than some of these other scam artists.",5
Wonderful,"It’s my first experience with Covington credit I was able to walk n and get approved less than a hr.. I will recommend them to anyone, great business !!",5
Great Credit Company,"An associate called me and told me that I can refinance if I'd like to and I can pick up the check that day. I agreed and when I arrived, my check and papers were ready. All associates in that credit store were very friendly and attentive.",5
