Title,reviews,stars
When I call they give me a hard time when it comes to getting my money transferred  to another  card every time my God help them people,Everytime I call to get my  money transferred  to one of my accounts to the other they give me a hard time I have to talk to 3 are 4 different people before I can even make a transfer I need help with that I have been with you guys for more than 4 years still the same problem please help are I will stop using net spend thanks,2
It was great I filed for direct deposit…,It was great I filed for direct deposit in one day and my check was cleared and was deposited into my check the next day and I didn't expect that to happen season how I checked in or signed up for the direct deposit and it was still a few days before so I signed up on Tuesday and I got my check on Thursday on Wednesday actually so it worked out very well thank you,5
Well for starters you charging me a…,Well for starters you charging me a dollar 95 per transaction on top of that $10 a month monthly fee so I don't have $1.95 most transactions that's highway robbery the only reason I got this card is cuz I assumed it would be like every other app card where they don't charge you per fee per charge they charge you for a fee for the ATM but no NetSpend is trash you guys are lucky that I still use it when my other cards come in this one's toast.,1
I hate that every single time I use my card NetSpend charge a fee.,Everytime I use my card there's a charge. Everytime I load money on my card there's a charge. NetSpend charge for everything I really don't like that. Then there's the lies about the fees that's charged that gets under my skin more than I can explain.,3
My old card got locked due to online…,My old card got locked due to online fraud. I had a replacement card. Took 3 hours of disconnecting.. talked 5 different people most there was a language barrier.. I not understanding them or they not understanding me. I called gave all correct information. Transfer repeatedly. 3 of the people I talked to were not helpful very rude.,2
THE AGENT THAT I SPOKE TO,THE AGENT THAT I SPOKE TO WAS VERY UNSERSTANDING TO MY SITUATION. She was encouraging & had the most humble voice I have ever experienced. Not only was I satisfied with the service I received I will be forever GRATEFUL that I was connected with someone who could truly understand with compassion. KUDOS TO MS SANDRA💕👐🏽,4
They charge $1.50 for every purchase…,"They charge $1.50 for every purchase transaction. That is a lot of money to use my own money. And the card is weird at gas stations. Puts a hold on purchases that are not gas at the pump. Very expensive. Bank account is much better way. I only got this to help me budget my spending money, but this defeats the purpose.",2
I like that I can transfer money to…,"I like that I can transfer money to different NetSpend users. I like that I can get my check 2 days early. I like that I can transfer money from my savings to my checking! Thanks,So Helpful!",5
I like putting my trust in NetSpend and…,I like putting my trust in NetSpend and not using my direct Bank card The only I did have a negative experience on 10/19/22 when I couldn't get into my account               and called for assistance and cut off every time I called but I was able to get into my account the next day. Thanks,4
I definitely like NetSpend and the ease…,I definitely like NetSpend and the ease of transferring money back and forth with my cash app and I like that it's so easy to withdraw the only thing I could recommend would just be to lower the fees each month and watch about double charging them other than that I love NetSpend All Access,5
My new Netspend card account doesn’t…,"My new Netspend card account doesn’t show up on the card/accounts page, probably because the website kicks me over to the HEBprepaid page when I try to log into Netspend for my new card, which isn’t an HEBPrepaid card.",1
