Title,reviews,stars
Me and wife have been  in business  for…,Me and wife have been  in business  for 16 years we have a daycare u guys turned  us down  for a business loan we had  to to go to a bank get money  for hour business and we make over 1000.000. A year so stop with bull u are not going  to help no one but keep the money  for your slef,2
FINALLY,"FINALLY! Frank Tomasula is amazing! He was pleasant to work with, very attentive and communicated with me continuously throughout the entire loan process! And most importantly, he did it! He got me what I needed when no one else could! Literally saved the day and the future of my business!",5
Satisfied,"Lace Abel-Bey was genuinely concerned about our company, explained everything clearly and concisely about the products and our options.  She provided me with resources so I could conduct research and be educated on the terms and products.  She also took time to ensure I understood the overall process and steps needed to complete the process.  She worked tirelessly with underwriting to ensure all their questions were answered satisfactorily.  I really appreciated her hard word and the end result was the loan approval.",5
Aaron Monterde was instrumental in…,Aaron Monterde was instrumental in helping me get the loan I needed to keep my business going. Often times you can feel pushed when making such financial decisions. Aaron was patient and explained thoroughly what the loan details and how the lenders make their decision.  Great job Aaron!,5
Peter from Lendio had our line of…,Peter from Lendio had our line of credit approved and ready to go in 1 day! The process was very easy and straight forward. We have now the ability to draw the funds and this allows us to continue with our business growth! Peter was awesome keeping us up to the minute with the process.,5
Don't hesitate ...,"This is my first experience with Lendio and I was fortunate to speak with Jill (JC) Chambers and she was very transparent and assuring that whatever the situation is she would assist me. Ms Jill was very knowledgeable about the matter and how to resolve it. Before I spoke with Jill I was ready to terminate the deal due another company in which I delt with, however from this point moving forward I choose Lendio. I didn't have to submit 50 documents and a note from my Mom to get the deal done. If you are looking for a solid and upfront company give Lendio a chance. I also hope that whomever you speak with or deal with I'm sure that you will have that Jill experience that I had.",5
Pat Nooney of Lendio is the best!!!!,"Pat Nooney of Lendio is the best when it comes to making it happen. Given the nature of the business we own, it has been difficult to find business financing, not to mention a line of credit, However, Pat came through with more than we expected. Thanks, Pat, for your dedicated service.",5
Lendio's Finest,"We had the opportunity to work with Joseph Pixton and Rocky Christensen, and first of all, they are both fantastic! They answered all of our questions, they helped us find the best options for our Company, and what we liked the most is that they were on top of everything! Both Joseph and Rocky made sure that all of our needs were taken care of! They both helped our company to have a wonderful experience with Lendio!",5
Highly recommend,"Caleb helped us get the funding we needed for our small business. He was extremely helpful, explained everything, and was always quick to respond whenever we reached out. Our process was quick, easy, and stress-free thanks to him. We highly recommend Lendio and Caleb!!",5
My experience with Lendio has been…,My experience with Lendio has been extraordinary giving me the best opportunity for our business. the attention is second to none and their ability to find solutions is unique. I really appreciate your excellent support. Thank you,5
