Title,reviews,stars
I have been using Advance America for…,I have been using Advance America for years. It is a great Way for me to get those extra things that are needed when a deposit is due For something or unexpected expenses. The website is user-friendly and convenient. I will continue to be a loyal user and I highly recommend this company Or cash advances over others that I have used in the past.,Positive
I had originally gone to Hoover and…,I had originally gone to Hoover and Homewood where they both talked to me in smart asked tones and called me rude for asking questions o was trying to figure out. Moe over at Ce terpoint handled my concerns and loan professionally and promptly.,Positive
Prompt & Courteous,I call ahead and talk to the manager Rochelle Haliburton as to what I need to document and update my account. Rochelle is so kind and patient and she was able to update my old account which was at another location in Lexington. Rather than get a cash advance on my VISA Card I choose Advance America.,Positive
The girls working here were extremely…,"The girls working here were extremely helpful and worked around my personal financial issues to get me approved for a loan. Very pleased with how friendly and understanding the employees were. When everyone else rejected me, these girls found a way!!",Positive
I always enjoy going to this location…,"I always enjoy going to this location the ladies are very respectful,helpful,pleasant and knowledgeable.Carol helped me this time and everything was in a timely manor and explained in full.thanks Ladies",Positive
Advance America has always been able to…,Advance America has always been able to guide this technology challenged dummy.I'm very pleased with the service and the honesty. The most impressive is the convenience. Totally hassle free.,Positive
The Employee was filling from the…,"The Employee was filling from the Gainesville, KY location. She was EXCELLENT!!! Friendly, professional, and helpful with a great personality. If I ever need assistance again I would be willing to drive the 90 miles just to her.",Positive
I was looking for a loan,I was looking for a loan. I applied online was approved. The burleson locatio. Called me. I went to the location and the money was in my bank account within minutes. Fast friendly. Coundnt ask for better service. Thank you,Positive
Ingrid is nice friendly and…,"Ingrid is nice friendly and engaging...making me feel comfortable &telling me of special loans if don't qualify for inhouse . We lol & chit-chat over other things..she's da best 👍🏾😁🎉🥇Vermont street, California",Positive
Awesome customer service,The people that were working at the store I visited were so nice and helpful after a problem with my online experience. They fixed my problem and were very respectful and just good natured people!!!,Positive
"Warm, friendly, professional staff",The staff is very professional and personable. So very friendly and very patient when it comes to any questions that I might have. I’m always grateful for any helpful information that they give,Positive
Advance America funds on the Columbus…,"Advance America funds on the Columbus Day holiday! All the charities think your great too! Shhhhh! I was able to provide help for Thanksgiving dinners coming up at The Ventura Rescue Mission & Salvation Army and help keep the doors of freedom open @ Beacon Daycenter in Houston, Texas! God sees all you do anyway, so please don't ever think your help is not rewarded with treasures in heaven , that's what my Grandmother taught me!   There are many totally thankful people with prayers of thanks too from coast to coast to coast including the Statue of Liberty, thanks you! God Bless You now & always! By the way, you are like the statue of Liberty and I'm glad I can help support your business! Happy Thanksgiving to all of you there! Frances Plante Scott on Saturday, October 22, 2022",Positive
Carrie was very professional and…,"Carrie was very professional and concerned about my situation she helped me out  in a caring manner she has very good ""customer service skills"". I t was a pleasure working with Carrie she goes above and beyond and doing whatever it takes to care for her customers.",Positive
"Excellent service, and results!","To Mrs. Gloria, you are the best!! Very professional, and you got me more than I asked for!! I was stressing earlier that day, and wasn't in the best mood. But, you gave me great news, which made the rest of my day very pleasant. Thanks again, and God bless you!!",Positive
"Fast, efficient with safety in mind.","The process went smoothly, very fast and efficiently.  They have always taken steps with your identity protection and process in mind.  I show proof every time.  It might add a few minutes to the process, but no one else has that information that they request.",Positive
I like the friendly customer  service…,I like the friendly customer  service that I  always receive at the Columbia  office.Alicia and her staff are always  helping me from time too time. My hat is off to both of them. I luv Advance America. I don't  get this kind of service from my bank.,Positive
The professional service of the ladies-…,"The professional service of the ladies- their willingness to help- the time that was given in explaining how the loan works- the pay by,just very helpful. STRESS FREEThe ladies in the office at the EAST STONE DR.office in Kingsport,Tenn.WONDERFUL!",Positive
Advance has been there for me again,"Advance has been there for me again. Each time I have needed help they were there no matter what. The process was quick and easy, I had my money right away. I have been coming here for a few years now. Each time I will use them again if need to.",Positive
Advance America is very friendly and…,Advance America is very friendly and professional. Willing to help with your needs at all times. Easy application and response is quick. Thank you.,Positive
MsDee is patient nice and understanding…,MsDee is patient nice and understanding she always helps me make the best decisions by breaking things down for me to get a better understanding .She helps me every time I come in I ask for her .,Positive
THEY CALL ME AND ASK ME STOP BY WE HAVE…,THEY CALL ME AND ASK ME STOP BY WE HAVE SOMETHING YOU MAY BE INTERESTED IN AND I DID AND I LIKE WHAT WAS SAID AND WHAT THEY DID FOR ME THANK YOU TALLADEGA BRANCH!!,Positive
