Title,reviews,stars
I have been using Advance America for…,I have been using Advance America for years. It is a great Way for me to get those extra things that are needed when a deposit is due For something or unexpected expenses. The website is user-friendly and convenient. I will continue to be a loyal user and I highly recommend this company Or cash advances over others that I have used in the past.,5
I had originally gone to Hoover and…,I had originally gone to Hoover and Homewood where they both talked to me in smart asked tones and called me rude for asking questions o was trying to figure out. Moe over at Ce terpoint handled my concerns and loan professionally and promptly.,5
Prompt & Courteous,I call ahead and talk to the manager Rochelle Haliburton as to what I need to document and update my account. Rochelle is so kind and patient and she was able to update my old account which was at another location in Lexington. Rather than get a cash advance on my VISA Card I choose Advance America.,5
The girls working here were extremely…,"The girls working here were extremely helpful and worked around my personal financial issues to get me approved for a loan. Very pleased with how friendly and understanding the employees were. When everyone else rejected me, these girls found a way!!",5
I always enjoy going to this location…,"I always enjoy going to this location the ladies are very respectful,helpful,pleasant and knowledgeable.Carol helped me this time and everything was in a timely manor and explained in full.thanks Ladies",5
Advance America has always been able to…,Advance America has always been able to guide this technology challenged dummy.I'm very pleased with the service and the honesty. The most impressive is the convenience. Totally hassle free.,5
The Employee was filling from the…,"The Employee was filling from the Gainesville, KY location. She was EXCELLENT!!! Friendly, professional, and helpful with a great personality. If I ever need assistance again I would be willing to drive the 90 miles just to her.",5
I was looking for a loan,I was looking for a loan. I applied online was approved. The burleson locatio. Called me. I went to the location and the money was in my bank account within minutes. Fast friendly. Coundnt ask for better service. Thank you,5
Ingrid is nice friendly and…,"Ingrid is nice friendly and engaging...making me feel comfortable &telling me of special loans if don't qualify for inhouse . We lol & chit-chat over other things..she's da best 👍🏾😁🎉🥇Vermont street, California",5
Awesome customer service,The people that were working at the store I visited were so nice and helpful after a problem with my online experience. They fixed my problem and were very respectful and just good natured people!!!,5
"Warm, friendly, professional staff",The staff is very professional and personable. So very friendly and very patient when it comes to any questions that I might have. I’m always grateful for any helpful information that they give,5
Advance America funds on the Columbus…,"Advance America funds on the Columbus Day holiday! All the charities think your great too! Shhhhh! I was able to provide help for Thanksgiving dinners coming up at The Ventura Rescue Mission & Salvation Army and help keep the doors of freedom open @ Beacon Daycenter in Houston, Texas! God sees all you do anyway, so please don't ever think your help is not rewarded with treasures in heaven , that's what my Grandmother taught me!   There are many totally thankful people with prayers of thanks too from coast to coast to coast including the Statue of Liberty, thanks you! God Bless You now & always! By the way, you are like the statue of Liberty and I'm glad I can help support your business! Happy Thanksgiving to all of you there! Frances Plante Scott on Saturday, October 22, 2022",5
Carrie was very professional and…,"Carrie was very professional and concerned about my situation she helped me out  in a caring manner she has very good ""customer service skills"". I t was a pleasure working with Carrie she goes above and beyond and doing whatever it takes to care for her customers.",5
"Excellent service, and results!","To Mrs. Gloria, you are the best!! Very professional, and you got me more than I asked for!! I was stressing earlier that day, and wasn't in the best mood. But, you gave me great news, which made the rest of my day very pleasant. Thanks again, and God bless you!!",5
"Fast, efficient with safety in mind.","The process went smoothly, very fast and efficiently.  They have always taken steps with your identity protection and process in mind.  I show proof every time.  It might add a few minutes to the process, but no one else has that information that they request.",5
I like the friendly customer  service…,I like the friendly customer  service that I  always receive at the Columbia  office.Alicia and her staff are always  helping me from time too time. My hat is off to both of them. I luv Advance America. I don't  get this kind of service from my bank.,5
The professional service of the ladies-…,"The professional service of the ladies- their willingness to help- the time that was given in explaining how the loan works- the pay by,just very helpful. STRESS FREEThe ladies in the office at the EAST STONE DR.office in Kingsport,Tenn.WONDERFUL!",5
Advance has been there for me again,"Advance has been there for me again. Each time I have needed help they were there no matter what. The process was quick and easy, I had my money right away. I have been coming here for a few years now. Each time I will use them again if need to.",5
Advance America is very friendly and…,Advance America is very friendly and professional. Willing to help with your needs at all times. Easy application and response is quick. Thank you.,5
MsDee is patient nice and understanding…,MsDee is patient nice and understanding she always helps me make the best decisions by breaking things down for me to get a better understanding .She helps me every time I come in I ask for her .,5
THEY CALL ME AND ASK ME STOP BY WE HAVE…,THEY CALL ME AND ASK ME STOP BY WE HAVE SOMETHING YOU MAY BE INTERESTED IN AND I DID AND I LIKE WHAT WAS SAID AND WHAT THEY DID FOR ME THANK YOU TALLADEGA BRANCH!!,5
This last loan was excellent,"This last loan was excellent,  but my prior 2 visits were terrible. In those visits old Hispanic lady sent my loan in on Friday knowing that I  go in on Saturday",4
Good Morning,"Good Morning, My experience was great. But today is the 19th, of October 2022 and My daughter still haven't gotten her referral money 💲💰🤑 yet. They told her she would get it in her email ✉️📨. She very upset. Because they used to give it to you right then. I still need my money that I was promised to get for my referral.",5
Quick and Easy,"They are great, they are quick and easy to deal with. Very helpful and friendly. I would highly recommend the Tupelo location to anyone.",5
Helpfulness and Compassion,"Both of the girls who work in this location are very efficient and helpful to the customer.  When you come into the office or call, they give you their undivided attention.  I would recommend them to anyone.",5
What I like about this place they make…,What I like about this place they make you feel like family for the new year and they help you right away and if there’s a long line they make sure that we’re there I’ve been a member for quite a long time,5
Barbara and Jennifer at the Edgewater…,Barbara and Jennifer at the Edgewater office are amazing.. They are both very very awesome and if I were there manager I  would give them both a  raise.. I love both of them they do customer service the  best..They are both very polite..,5
Advanced America Merritt Island store…,Advanced America Merritt Island store is great. Sandra and Elizabeth are beautiful people and the office is always clean and organized and smells great.,5
I had a extremely pleasant experience…,"I had a extremely pleasant experience with Advance America. I initially called the day before coming in . All of my questions was answered professionally. When I went it , it only took about 15 minutes. The experience was excellent. Extremely professional , every step of the way.",5
Agent was very polite and helpful plus…,"Agent was very polite and helpful plus seemed to know what he was doing.  I was not happy with payment method offered, prefer to make payments in person when possible.  Do not like autopay on anything.",4
Brittany was very helpful,Brittany was very helpful. I literally had no money to my name. I was at my lowest point. She saved the day. Thank you so much Brittany.  Your help means alot to me.,5
Great Team,The friendly attitude of the team at this location. The ladies are so nice; even when things are bad. That why I keep coming back.Effective communication is what you guys are doing well.,5
Great experience!,I will say that the entire experience from starting my application to completing and approval took less than 5 minutes! This took a huge amount of stress off of me and I am very grateful.,5
I now have a better understanding 😌,"After having a talking,,,I was totally wrong and didn't read everything and I deeply apologize I have full understanding about my payments now ,,Advance America have a wonderful staff ❤️",5
Yes Advance America always treat me…,Yes Advance America always treat me good they always willing to help me good attitude that's why I keep going back over and over thank you so much Lavern Moring,5
Appreciated the Help that was…,"Appreciated the Help that was Desperately needed for my Family. I was not judged in anyway even though my cred I t isn't perfect...I Respect and Appreciate that"". Thank you so much!",5
My financial situation is at the point…,"My financial situation is at the point of here I need a pay day loan to meet my obligations. Being able to obtain a loan to not be past due is well worth it, especially since can't change date of my bills",5
My Hero,My Grandson didn't tell me about Senior Night until Senior Night. I went online with Advance America and they came through for me again.My hero again.,5
The ease for my transaction was great…,The ease for my transaction was great it helped me alot being that I didn't know how to do it online. Me being a value customer I will definitely stay with this company.,5
Despite the line even with one…,Despite the line even with one associate  on break it went very fast I was in and out quickly thank you for that.,5
