Title,reviews,stars
Great Company & Customer Service,Millenium has been extremely helpful from the very beginning of my experience. They send reminder emails & give step by step directions. The customer service representatives were also very friendly & informative.,5
Log-in Issues,"I called because I needed to figure out an issue with logging in. The man I spoke with was extremely helpful, and efficient. He was able to quickly send a new email, and problem was solved in under 5 minutes. It's always refreshing talking to someone who is a competent helper. Much appreciated.",5
The representative I spoke to was UTTERLY PERFECT! He deserves so much praise and a raise!,"The representative I spoke to was beyond helpful. Above and beyond kind, this is my first time with a 401k and he was truly so information and so kind. I hope his boss gives him this praise because he really made my day and helped me endlessly",5
"Helpful Customer Service, Slow Processing Time","Customer service has been very informative and helpful. Old company I worked for transfered my account into Millennium Trust after a few years of not working there. The one downside I experienced is the lengthy processing time of withdrawing your funds, wasn't expecting to have a 10+ day delay so I could move my funds to my portfolio. Other than that the short experience with them was good.",4
All my questions were answered,"My experience was a satisfying one. All my questions were answered, and the representative was helpful getting me information I requested. Thanks!",5
It  took numerous attempts to connect…,It  took numerous attempts to connect with a live agent and not a chat bot.  I was interested in knowing how long a distribution takes.  A suggestion for the future would be to add a time frame to any  correspondence.  Why does it take 15 business days to push buttons for an ACH transaction is a question that i have.,3
Amazing!!,"The agent, Donna, that assisted me was very helpful, polite and professional. I left that employer 20 years ago and wasn’t aware I even had this IRA. I had my distribution within 5 days of application.  Well done Millennium Trust!",5
Lisa was wonderful,"Lisa was wonderful.  She didn't just give directions, she went through the process step by step until completion.  She should be commended for her knowledge and patience.",5
Customer service,They are very understanding and easy to work with. They help you in any way they can and do their job very thoroughly and fast.,5
Terri was my CSR,"Terri was my CSR - she was polite, professional, helpful and informative. While in the first 3 minutes of the call we were disconnected - she promptly called me back to finish our conversation. Stellar customer service!!!",5
Luis at the help center was FANTASTIC,"Luis at the help center was FANTASTIC.  He listened to my issue, explained how to solve the problem, and took the steps to do so, all while I was on the line.  And it only took a few minutes.",5
I am a new customer in past couple of…,I am a new customer in past couple of weeks.   I set-up and account on-line.   A couple of days later I had change phone number and tried to get back into the account.   I was not able to get back into account because MT wanted to send text to my old phone number.   I called and MT said they would will change it.   I took four days and and four calls and each time they said they need to put work order to take care of it.  All people were nice but didn't solve problem.Not a good start for MT.   Hope it gets better,3
Millennium trust is a well traversed…,"Millennium trust is a well traversed establishment where safety precautions are key priorities, the representatives are very informative and helpful, my only negative comment is the wait period in receiving your withdrawal account has been a week after all information has been processed.",5
This process takes too long,This process takes too long. I am in a financial hardship and it’s going on 2 weeks still have not received my money.,3
I’m very grateful for the agent that…,I’m very grateful for the agent that assisted me on Monday the 10thShe was very helpful and patient with me she even waited while I found the information and spend extra time with meThank you again,5
Lost my card that loaded with funds…,Lost my card that loaded with funds from a previous employer. I then found it it was expired.O NO! Looked you guys up on line. Called and you were great help.A replacement card was sent in thought seven business days. Thank You,5
Seamless experience,I had to make an early withdrawal from my 401K and the website and customer service during the process were both seamless.  I received my funds quickly and received electronic communication confirming each step along the way.,5
Your Representatives are always very professional,"Your Representatives are always very pleasant, helpful and professional.  They provide adequate assistance for my requests and questions.  *My only issue is with the automated answering, it takes too long to follow the prompts and get to a live person.",4
Needed help with Rollover,"It was a little difficult from the Website to learn how to initiate a rollover for another institution but once I spoke with a rep(Jaqueline, I think is how it’s spelled) she pointed me in the right direction",5
Information and instructions,"Previous attempts I tried to do this, but today it was easy I took my time and read all the material. The material is a.little intimidating but it is thorough.",5
I was very pleased with your company…,"I was very pleased with your company the transaction was very easy and fast to complete. The application itself is very customer friendly as it is informative and guides you through the whole process. Plus, the deposit went through by in the next day as you stated it would take between 1 and 2 days. THANK YOU.",5
