Title,reviews,stars
I had been patiently waiting on my turn…,"I had been patiently waiting on my turn and there were 3 people ahead of me.   A lady walked in and was getting a money order.  I was just waiting to pay my bill.  Others were putting in applications which take longer.  She took made the girl take the lady next, which made everyone else have to wait even longer.  She said the money order was not going to take that long,which paying the debt wasn't gonna take long either.  It was not fare because the manager should have asked everyone is it alright if she took the lady next.  We were waiting there a long time the lady could have waited just like we had to wait.",1
Wrong account,Agent at store sent loan to wrong account number. Have to wait for money to get returned to reschedule a lone.,2
I used to say they were good,"I used to say they were good, until recently. I have been trying for over 2 weeks to get a increase on a loan I had been paying in good faith even in hardships, but at one point there was a missed payment, by one day, 2 months ago due to their fault of not automatically drafting it. I paid the next day when ai realize it wasn’t drafted, but they said it takes 6 on time payments to even be considered a increase. My next one was around the corner making it my 6th, I paid it a few days earlier to see if that would help and still no answers, nor help.These guys are not the go to guys for loans anymore, I would say. They’ve had enough time and a early payment should have definitely meant something, but doesn’t in their eyes. Forget Advance America at this point. There are better ones than them. Will never go to Advanced America again!",1
The lady behind the counter was rude…,The lady behind the counter was rude and unprofessional.,2
I’ve been with you guys a long time…,I’ve been with you guys a long time I’ve never had a problem always a pleasant experience. Thank you for being there at a time of needI give you five stars.,1
Unfortunately this time getting a loan…,Unfortunately this time getting a loan was difficult. I was approved for a loan on 9/9/22 I put in my debit card number so the money would go on quicker. But as far as today 9/12/22 I still have not received any money. I've made 3 attempt to call and find out what happened. And all 3 times I got a different answer. I'm going to call again tomorrow if it's not in. Because the last lady I spoke to said it will be in today. We'll see,2
I asked for a payment extension because…,"I asked for a payment extension because I changed jobs, and my pay day changed. Was told that it was put in the system, but the payment was drafted from my account anyway, causing my account to be overdrawn. But, I will get the NSF fee refunded.",1
Horrible experience,"Horrible experience! Strong smell of plug in air freshener. Immediately entered my throat. I should have left but didn't think my loan would take so long. Normally doesn't. Kimberly would not get off phone. I kept gasping for air. I kept saying how bad I was feeling but was met with apathy. ""Tasted"" that pungent smell in my throat for the next two hours. I did not know how to counteract this. This experience was definitely detrimental to my physical and mental health.",1
I really enjoy making  business with…,"I really enjoy making  business with ADVANCE AMERICA, but my only concern is why am I being placed a a one week to pay my loan when I used to have a two week period to pay my loan and now it changed?Why?",1
Should have just went into the store,It was very time-consuming I applied for one amount at the beginning and ended up with a lower amount in the end it was not even worth the time or the effort we'll never do it online again couldn't have just went into the store there was no convenience,1
In the last few months i have had such…,"In the last few months i have had such a problem using the online system to get my loan.  It often will not verify my income even though you have all the info and are getting into my checking account.  I have noticed quite a few times when I try it will get to the page that shows my total monthly income of my social security disability but on the same page it shows my 3 month and it is too low so not sure if that has anything to do with it.  This month I must have tried 4 times kept ending up saying to upload documents and I gave up. Plus then stopped at the local office and they were out to lunch and when I came back after they were to be open they still weren't there and there were 4 people waiting outside.  Then a day later all of a sudden the loan was in my account.  Something isn't right.  This was I believe started on 10/1/22 , stopped twice at the office on Monday Oct 3rd but didn't stay after second attempt nor did I have contact with employees. And it appeared in my account on October 4th.",2
They are a joke!,They fail to tell you everything upfront. I gave them the correct paydays when I got my line of credit and they put them in wrong. Then I did what they said paid it off not once but twice to correct my payments and then I called them to correct it and they tell me well you have to close it you can’t just pay it off! They are the worst company I’ve ever dealt with! Will be glad with this is over with and I do not recommend them!,1
I went to the store and paid my bill…,I went to the store and paid my bill and get a new loan. Funny thing is it’s the second time the new loan didn’t show up in my checking account. First time it happened I had to reduce the loan process over this time they state I just have to show up and receive cash which makes me stop by my bank which is out of the way. Nevermind the drive I have to make to the store to pick up cash.,1
THEY ARE A COMPLETE SCAM,THEY ARE A COMPLETE SCAM. They scammed me out of $2600. they would deposit money just to for the bank to send it back a few days later. they said it was a glitch in the system but it kept happening and i never got reimbursed or a loan,1
Terrible experience and run around took…,Terrible experience and run around took out a loan two days later I was told I couldn’t pay it back online but could if I went to store got to store they couldn’t do it and thier solution was to call customer service and wait half hour to be told it can’t be done until after three days holiday weekend so it costs me 4 days interest,1
NOT HAPPY WITH THE SERVICE NOW,"No longer give a good grace period. Not happy about that. They go after to get they money they loan out in less than 2 weeks and they take the money out when I don't have the funds in my bank, putting me more in the minus in my bank when I asked to have a grace period when I get paid. NOT HAPPY WITH THE SERVICE NOW. I think they have lost me as a recurring customer.",1
Repeat customer for a decade-disappointed in the online process,"Repeat customer for nearly 10 years. Instead of going down to store, opted to do it online. E-Signed as instructed. Advance was applied for Thurs., did not approve until Fri afternoon. Funding was not supposed to be affected by the Holiday. Funding has still not commenced but my loan is open.",2
Your online service is lacking,"Your online service is lacking. After several attempts To email, chat to no avail! I requested a change to payment to make the process faster and was told to wait from the 1st to the 9th! There has to be an opportunity here for improvement.",1
Online is awesome,"Online is awesome! When I went to pick up the money, I was not even acknowledged but she acknowledged other customers. Then she grudgingly gave me the cash as if she couldn’t believe I qualified.",2
Very rude,"Very rude. Was on phone asking questions and the head of the department told me to shut up, when he said this I “brought up” reporting them to the better business bureau. The gentleman started yelling saying he was calling the cops/authorities on me….doesn’t seem very official in my opinion. Just be careful with your decision to choose this company.",1
The issue I had was normally  you can…,The issue I had was normally  you can email your bank statement showing the loan was clear. As long as I had the loan I have always done that. I had to wait three days. I didn’t like that at all. It was things I needed to pay. My account was overdrawn. I don’t know if this is something new or what??,2
