Title,reviews,stars
This company is a company that takes advantage of people in this country when it is struggling enough. These type of companies should be force regulated by the government. They should be outlawed,This company is a company that takes advantage of individuals. It charges the highest rate possible on daily interest. You can only hope they get ran out of business by reasonable companies that offer fair and affordable rates. BestEgg offers actual companies with normal loans. This place is operated like a check writing service. Do not use them. I got a $1500 loan and my first 3 payments will add up to $1300 then I will be expected to continue payments until April of 2024.,1
THIS IS A TOTAL RIP OFF TO ME,THIS IS A TOTAL RIP OFF TO ME! IN JULY I GOT A LOAN OF $900. THEY DO A DIRECT WITHDRAWAL FROM MY ACCOUNT BI-WEEKLY WHEN I AM PAID. THEY HAVE TAKE OUT OF ATLEAST 6 OF MY CHECK. EANGING FROM $100-$160. WHY SHOULD I STILL HAVE A BALANCE OF $825? WHY MUST INTEREST CHARGES KEEP ADDING UP IF I AM ON A PAYMENT PLAN WITH THEM BI-WEEKLY?? AN ABSOLUTE RIP OFF!! NEVER AGAIN WILL I EVER DEAL WITH THEM OR RECOMMEND ANYONE TO THEM!!,1
Called cashnet USA today as they…,Called cashnet USA today as they requested about the 300% interest rates. They won't work with you except to extend payments or split them getting you farther and farther into debt as they continue to collect that high interest. It's like $14 a day!!!!  Being on social Security and elderly doesn't mean anything to them. Companies like this force you into bankruptcy.  I have a $2500 loan with another on line company and payments are not even half that.  All I can say is I would highly recommend against borrowing from this company.,1
A valuable lesson here.,"CashNetUsa has taught me a very important lesson--make sure you read all the fine print before you make a deal. About a month ago I borrowed $1500 and was hit with an automatic withdrawal payment of over $350 for my first payment. Now I have a $430+ payment due and owe a total of over $1700.. The key to doing business with this company is to be able off your entire bill before the first payment is due, otherwise you will hand out money until you run out of it completely.",1
I won't be using yall again after I get…,I won't be using yall again after I get yall paid off because it's impossible  to pay yall back in payments.  I don't make enough money to pay it all back at one time and every time I make a payment even if it's over what I owe on that statement by the time I make another payment it's like I haven't paid anything,1
I don’t like the fact that it takes…,I don’t like the fact that it takes days for my payment to post which appears as if I’ll never paid it off unless the scheduled payment plus additional monies is paid too!! It deters you from having an available balance to draw from and it appears the payment isn’t getting paid down.,2
Beware,"Beware! CashNet are always there when you need it. However, be careful! The loan docs don't say how much you will be paying each payment until you get approved and the money is already on the way. I personally used them a few years ago and again just a few months ago with no change in how they do business. Payments are super high (car payment) for the first few months and then get lower to where you can afford it. It is not a steady payment plan where you can budget. I have it listed under ""last resort"" when I need a loan because of this. Beware!",2
I've been making my payments on time,"I've been making my payments on time, every time, but I haven't gotten an increase in a very long time.",2
I never had a problem with this company…,"I never had a problem with this company until now. I advise no one to do business with this company and I will make sure it does get told across advertisements. The second to last customer service’s rep provided misleading information. I have the app installed on my phone, can access any funds at any time. There was a low balance to pay on my account but if I need more I can get more. But before completing my process through the app wanted to make sure I was able to afford the payment’s. Spoke with the guy he explain he can’t provide the exact amount but will not exceed over $350. Because we want to make sure people are able to pay back their loan. So after he explained the information and looking over my I account. Completed everything through the app. Then new bill cycle generated check the portal my damn payments almost $400 dollars. If the guy would have provided correct information I would never pushed forward. So after seeing the information in the portal I contacted customer services. The lady explained she apologize for the misleading information she can split the payment up. I can’t do that every time this is ridiculous I will go further to push this matter even if I have take it to court. All calls are recorded so they will have play back the information on those days I contacted customer services.",1
Your Interest Rates seem Illegal,"Your Interest Rates seem Illegal. I know you lend Money to People with Poor Credit Scores, but It's a Huge burden to those of Us that have suffered big set backs.",1
The interest rate is compiled daily and…,The interest rate is compiled daily and is high as hell. As a first time loan applicant I will never use this company again. I don't have a.problem paying the loan back but every payday more of the money is going towards interest than the actual loan,1
"Don't be asking me about how y'all are messing over people, but we need it",People can't catch up with themselves because of the money y'all charge,2
Nothing everything went well,Don't ever use a place like this. You will be struggling more then before. They say we work with you. HAHA NO they do not. Thank goodness after a couple months I was able to pay my balance off in full. Because let me tell you. I would've owed on this for the next 2 years. And I was paying 200 every 2 weeks. Places like this should be illegal. It's disgusting.,1
Don't ever use a place like this,"DO NOT USE CASH NET USA, After my account was paid in full, they drafted an additional $617, stated I would receive my funds, however, the funds have not been deposited and I am accumulating overdraft fees. This company is not reputable!!  BEWARE!!!!",1
DO NOT USE CASH NET USA,No matter how much you borrow everyday your balance goes up that’s not fair at all. The banks don’t even do that,1
I don’t think I’ll ever borrow from them again,They're taking advantage of the poor over charging 275% interest rate.,1
They're taking advantage of the poor…,I hated it even tho it was easy to get the money. The price was too high for the little money i borrowed. I even doubled up on some payments and still was charged all those fees for borrowing 600 bucks. Not worth it id never borrow from cash net usa ever again,1
I hated it even tho it was easy to get…,Payments and interest way too high!! They don't properly inform you of what you're getting into. It's a scam!!!!! I paid my balance in less than 2 months and canceled my account!,2
Payments and interest way too high!,"The loans were okay. The line of credit is absolute BS . I say the loans are okay because if you can pay them off early or pay the balance back quickly it's a great deal,  but that line of credit is crap no matter how you pay they take interest I paid 250 bucks early I got 32 dollars towards my line of credit . You can't pay it back early all payments made early just go towards your next payment do not use their line of credit they rape you financially",1
Line of credit and loans,Payments are too high and causes more financial hardship. It’s hard to pay this off because you are paying way too much in interest. Would not recommend this business.,2
Payments are too high and causes more…,You guys took the payment out on the wrong day. Cost me 30 dollars. I do not get paid every two weeks. I get paid two weeks from the 29th. Penny helped me today. She was great. After I pay this off I will not get a loan from you guys again. That money still has not hit my bank account and how can I make sure you guys are on my pay day schedule? I don't get paid the same days every month. I just want everyone on the same page. Thanks so much. You said give it two or three week days and it's the 7th of September it's been that long,2
You guys took the payment out on the…,They didn’t tell my payment was going to be over 200 an some dollar an the 10 a day payment stuff,1
They didn’t tell my payment was going…,"Sends frequent mailers saying I am ""pre approved"" for up to $1,000 for years so I have always disregarded these. In a bind and actually need a short term loan ASAP because my health is in danger so I have a dialogue over the phone with an agent who needs to email me information to complete for approval...odd, I thought i was pre-approved.....sure, I will oblige. Nope, unable to get a loan via the website...stop sending out spam mailers casting a wide net to get people tangled in 325%+ APR Loans. 3Fs82St8wQ9s6sTW9Q2YmrNtHEJKkwW4KA",1
"Sends frequent mailers saying I am ""pre…","I think your company preys upon people in need with criminally high interest rates. So happy I paid off my debt and would NEVER use your company or any other again that takes advantage to the degree yours does with high interest, making it impossible to pay off.",1
Not a good idea…,"Was happy overall with seeing it would be in my account the next day. When I logged in at the top it said it would be deposited today, but when I scrolled down to pending transactions it said 2-5 business days. I know it said it could depend on the bank. I'm not sure why it would say deposited the next day but when I logged in just to find out I have to wait two to five business days. I just needed the money to get by until payday but It seems I will get paid before it is even deposited. Just a little confused because in my email and at the top it said it will be deposited today and haven't received the deposit or any emails regarding the loan except to leave a review and that funds would be available today. Just overall confused with being told two different things when I logged in today.",1
Was happy overall with seeing it would…,"CASHNET is dirty.. I asked for a $600 loan, they sent $1,000 with a ridiculous interest rate.. Do not loan from them they’ll put you in a deeper hole.. It’s shameful to see how greedy some people are",2
CASHNET is dirty.,I sent in my bank statements though chime and I it clearly shows I am on disability SSI and I am a little slower with the hole internet and I have a lot of Gmail accounts and it took forever trying to sort through them on your sight to get it to where I even could send a statement from my bank and I still don't know why I was denied,1
I sent in my bank statements though…,All around awful. No mention of hugh charges you take when you go and get a payment. Net interest is off the charts. Wished I never started......my blog is already sharing common experiences.  Collecting data points for possible public shaming on your operation. Shame on you. Never will recommend and will go our of my way to insure people don't lean in on you.,2
All around awful,For a $2100 line of credit be prepared to pay over $7000 in interest before the loan is paid off. Trying to get my balance down and payoff early. I made a $1000 payment. Only $300 was applied to the principal and $700 was applied to interest. Never missed a payment. I still owe $1800. Do not get a loan from these sharks!!!!!,1
