Title,reviews,stars
I’m not sure what to say other than you…,I’m not sure what to say other than you want a review and I’ve not received my money. Maybe next time ask for a review after someone gets their money.,2
Scamer-like phone call experience.,"I received email asking me to call at a number. I called, they collected all my private data, ssn, previous address, date of birth. Then transferred me to a guy in India who said I need to update my online account. I feel I was scammed - they do have my recent address, I receive ads in my paper mail from them. Interaction made me very worried.",1
poor ease of use,the online verification process is subpar to say the least ..it has some issues with safari users according to the rep I spoke to. Fidelity on the other hand handle the same thing in less than 3 minutes for a rollover. I'll be waiting for an email to confirm my login verification..,1
Transfer of funds without consent,"My 401a was transferred to your company without my knowledge or consent. You chose to ""welcome"" me to your company by using an home address from an employer who I stopped working for 8 years ago. You took $60 in fees without my consent. In order to get my funds transferred back to my fidelity portfolio I need a statement - which are produced only annually?!",1
Poor directions just to open an…,Poor directions just to open an account. Poor customer service via phone as well.,1
SCAM ARTISTS,"I did not get a notification that my 401K had been transferred to Millennium Trust. I had to call Empower Retirement to get that information. The company then gave me a long form to fill out to get it transferred. It was very inconvenient so I decided to delay the process.Fast forward two years, I am on the website with the intent to transfer my account to Mutual Of America and I discover Millennium Trust has been charging me an annual fee and statement fee for my account. I NEVER got a statement because they had my address wrong and never notified me of an annual fee. They were just taking money from me with no regard or guilt. Scam artists — be ashamed of yourselves.",1
Took my money and forced me to pay a fee to get it back.,"Millennium Trust accepted money from my 401k in error, I wanted T. Rowe Price to send it directly to me. But, I had to go through Millennium trust to get it back. I then had to pay a fee to get my own money back and close an account that I never consented to opening.",1
I never received confirmation  so…,"I never received confirmation emails so I had to continuously call to know if my money was received, my account was setup, etc.  Your fees are too high. I already setup a transfer to vanguard and I can’t get my money out of your organization fast enough.  AND you are making that process painfully slow too.  Basically, your organization sucks!",1
"Excessive and unnecessary requirements to access personal account. At last check, there is only my name, no actual Information, activity,  not so much as an account balance.","This is not my 1st IRA account. But is 1st last and only account this group will hold of mine ever. The methods and effort it  takes to access one's account online is extreme and excessively unnecessary. I suppose it is successful effort on their part to hold onto my money for their gain while they do nothing to improve my balance. Only transactions have been annual deduction of fees, period. Further, I have not received any sort of contact or update from this group via mail, email, nor phone since DEC 2020.This account was opened in early 2019. Just knowing the annual fee plus the 'closing of the account fee' will further deplete my funds, makes me both angry and sick.",1
Takes extremely long to send money and…,Takes extremely long to send money and never have up to date information it’s such a hassle to receive my own money,1
Can't wait to never do business with…,"Can't wait to never do business with these thieves again.  To be fair, if you love fees and terrible customer service you are going to have a great time interacting with them.  Everyone else should run away fast.",1
Called because my employer rolled over…,"Called because my employer rolled over my 401k to Millennium.  I was informed that I had to do everything online that she couldn’t even assist with a withdrawal.  Now I am dealing with a continuous circle.  The online verification process says my email is verified but when I try to login it keeps taking me back saying I need to enter the verification number.  Not an enjoyable experience.  This started 10/7 then I worked on it again 10/10.  I was also informed I could login on my phone but it states in the email that a laptop or desktop is preferable.  This is not compatible with phone at all, a laptop or desktop should be used.",1
Awful Process,Awful Process!  Person I spoke with was helpful.  Horrible process that I can’t handle my accounts at the same time.,1
My 401k got vacated and moved to MT,"My 401k got vacated and moved to MT, didnt know that had happened.Was put into a money market account and had less money in their that when I made my last deposit 8 years ago. Poor growth even though we have had the losses in the market. Had to provide old address to prove it was me but being that I have had 3 addresses since then hard to prove witch one, and they cant tell you what one matches of course. Many more documents sent and rejected for wrong address a quick 2-3 weeks later and several phone calls and waiting periods. I now have access to an online account. And you can only do rollovers if you have your online account set up. One thing after another, by far one of the more difficult places I have dealt with for simple things. Hope you dont get stuck with them👍",1
I can not get my distribution with out…,I can not get my distribution with out a check or deposit slip and I don’t use checks or physical deposits so I can’t get my distribution. I think that is so dam stupid no one uses checks anymore or physical deposit slips it’s all done electronically. So what do I do? Get with the times!,1
I have been wanting for my $ that was…,"I have been wanting for my $ that was issue on September 1st we are on October , over a month n still waiting for my money , first card I have received and is not good they requested another card for me with out my knowledge,  so finally I get in contact with customers care , and to tell me that it was issue another card and I still have to wait 7 to 10 business day .... horrible process I wouldn't recommend this Millennium trust company to no one .. never ever ..Marisol Cruz",1
Horrible,"Horrible. Still have not processed cash from one account into another, both at Millennium, and the first of 4 requests were received on Sept 20. Also have not transferred two of our accounts to another custodian after 2 weeks. Would never use Millennium again and we have been there for years. Very dissatisfied",1
Account was transferred over to them,Account was transferred over to them. No notification that they are the account holder from prior 401k. Then get a charge of $25 for them having my money. Then to close the account is another charge by them.,1
Felt I was an inconvenience,Person I spoke to was short and I felt I was a disruption and inconvenience to her with my request,2
Lack of human interface and website a major pain,"Spent over and hour just trying to see what my balance was. Created new account online, and at the very last step, site wouldn’t send verification codes to my phone. (Worked fine throughout signup process)They arrived 20 minutes later. The ‘digital assistant’ was utterly useless and wasted a lot more time. On the plus side I was finally able to reach a human being who tried (unsuccessfully) to help me. Process shouldn’t have had to take me more than an hour. Hoping future dealings will be better than my introduction.",2
I did not like that I was rolled over…,"I did not like that I was rolled over to this company from my old one, and the maintenance fee and closing account fee is just another way to rob people of their own money",1
Can’t get access to account,"I was notified that I had funds in an account 3 months ago. I still have not been able to access my account. It is absolutely brutal trying to set up an account! I am pretty confident they do not want me to have access at this point….sending pictures of a license, validating home address, etc…..",1
