Entreprise,Trust_score,N_avis,Avis_excellentes,Domaine
Advance America,4.8,"71,994",91%,Financial Institution
OneMain Financial,4.8,"45,389",88%,Financial Institution
MoneyLion,4.7,"27,475",84%,Financial Institution
Millennium Trust,4.2,"27,009",70%,Financial Institution
CashNetUSA,4.6,"23,191",83%,Financial Institution
Spotloan,4.5,"21,974",81%,Financial Institution
Lendio,4.8,"20,099",89%,Financial Institution
SmartBiz Loans,4.6,"16,375",86%,Financial Institution
mymoneytogo.com,4.9,"15,533",96%,Financial Institution
Biz2Credit,4.6,"14,448",83%,Financial Institution
1st Franklin Financial Corporation,4.8,"12,367",85%,Financial Institution
Tower Loan,4.7,"12,008",94%,Financial Institution
Netspend,4.1,"11,568",65%,Financial Institution
Amscot,4.7,"10,362",87%,Financial Institution
NetCredit,4.7,"9,929",83%,Financial Institution
Americor,4.9,"8,265",89%,Financial Institution
NewDay USA,4.6,"7,446",82%,Financial Institution
Dollar Loan Center,4.8,"5,434",89%,Financial Institution
Tresl®,4.5,"5,149",81%,Financial Institution
FreedomPlus,5.0,"4,965",96%,Financial Institution
