name,reviews,stars
Corey Brannon,The loan process and the communication with Jenny went smoothly. Jenny was very knowledgeable and answered all my questions either over the phone or in person. I would definitely try and encourage my friends and family too go visit this location and asked for Jenny. I will for sure see Jenny in the near future once this loan is paid off. On a side note. At this location the office setup is kinda weird sort of say. Once you enter the building everyone there just steer at you like vultures. This is just my observation. Thanks and God bless.,5
Jenicia Turner,"Extremely high interest rates. Extremely long process. My service rep was outstanding with great service. I have good credit & have used them in the past & paid off my loan early each time. I’m not bitter I was approved for the loan. However, I just wouldn’t recommend this company. Please save the time & money go elsewhere. You will pay double if not paid off early.",1
Tyler Wegmann,Company Loan specialist lied about conditions of loan and how interest is calculated into terms of the loan. Company has employees who do not know how to calculate interest on loans. Most ridiculous loan company. I cannot believe they are allowed to do business in our country. One Main should be banned from providing loans,1
Vontrezze Mack,They was so nice and so professional to the point of no return I just got mad lol I wanted some one to be rude lol 😂 but not one main in LEXINGTON SC THE BEST YALL LADIES ARE FOREVER THEY CANT REPLACE ANY OF YOU YALL GAVE ME A CHANCE AND WORKED WITH ME IM SO GREATFUL THANKS A BILLION TAKE CARE LOVE 💗 YOU LADIES,5
A Veteran in Need,"The team in Hamilton, OH is extremely approachable and professional.  These gentlemen listened to me and what my needs were and provided care as well as assistance.  I can't thank them enough because customer service today has diminished. They deserve five stars and a batch of my Oatmeal, Chocolate-Chip cookies.",5
Robyn Bode,"If it wasn’t for the supervisor ( I’m sorry I forgot her name), I would’ve gone elsewhere. Ally left me completely ignored. I could not get ahold of anyone for help until I called my local OMF and they called for me. Once the supervisor got involved (and Ally out), it was a breeze! It was all done by the app.",4
Michelle ,It was so easy and convenient to process the loan online with the individual over the phone. It was a quick approval process. I thought I was going to have to go in to sign like the first time. Was very impressed with the ease of the process. Alicia the individual that helped me was very helpful.,5
Jocelyn Wagner,"I think it’s crazy you can’t review your signing documents on your own time before signing. I was on the phone with an agent while reading all the forms and she told me i had 51 min left. Then after i received my funds, i got an email that my application was declined, after i called in they says it was a duplicate i was never even aware of. Also every time you call in you verify your information with an agent then get transferred 3-4 times and have to verify all over again 3-4 times. Don’t understand why there are so many different numbers and departments. It’s a huge confusing web.",3
Heather Visser,"When trying to finalize my loan, I was told to click the link provided but there was no link. I had to call the person helping me get a loan to have her send me the link. That happened more than once. Being forced to only be able to send my paperwork needed through FedEx when living out where I live wasn't an option that I knew of. Thankfully they put a FedEx inside a dollar general close to where I do live. If not I would have had to drive over an hour to the closest one. My check not being delivered when it should have been. Thankfully I didn't need thar money right then and there.",2
Mary Blaizes,I was happy with the experience that I had with one main we have done business financially for long time and the agents are very friendly and helpful. They make it joy to do business with one main. I look forward to continue to do business with one main.,5
Brian Williams,Local agent was awesome and very helpful.  This is my second time getting a personal loan from the Portage Indiana Office. I would like to thank Jordan for getting me and my family the amount we needed.,5
Johanna Pagan,"While signing, I felt rushed. I wasn't given enough time to read all documents thoroughly, and when I downloaded them a few days later, they were no longer available. I could have reviewed the documents and signed them without assistance.",3
Elly,"I had a great experience with the lady working in Totowa while ago, but definitely don't start anything with Marcelo, he will make an appointment with you to just sign the approved loan and last minute he will call to tell you that the application was turned off. No sense. Talking about secured loan imagine",1
Michelle Lynch,The add on disability  insurance  is a fraud. You have to jump through fire rings. I was in a bad accident and the unnecessary  added stress was gross and unprofessional. Very very disappointed.,1
Kevin Gale,"Everyone that was involved with setting up my loan process was very polite and very helpful and was very knowledgeable One person in particular went above and beyond her role in helping me, her name was Leslie she is absolutely amazing",5
Lawrence Sewell,"I knew the process it was easy, and I was able in just a short time complete the verification process and receive my funds within hours. Great people great products. Good job OneMain.",5
Brianna Healey,Victor was AMAZING! He made the process so easy and was very nice on the phone! We talked more than once and he was so helpful! Definitely made the process easy! I don’t usually write reviews but he was amazing!,5
Rosie,"OneMain Financial has been helpful, also I am extremely excited right now, an advisory Mrs. Julia helped me with my student loan debt relief and I also got additional loan for my new business with NO collateral. Amazing!! Everyone is approved for a loan. Get assistance via e-mailing Julia94 at! mail.com!",5
D Thomas,They did a very good good job helping me with my loan I didn't have to leave my house I didn't believe how quick and easy it was they was great money was in my account within 15 minutes. Thanks,5
Carolyn Johnson,My experience with my one main was excellent and I would recommend you to anybody thank you for the opportunity to be able to receive this alone you just don't know how much you have blessed me,5
Randi,"The associates we're friendly, helpful and informational. As a consumer, these are the elements I look for, because a bad attitude gets you no where and I did not experience one bad attitude.",5
ANGELA,"Staff very courteous, they explained everything.  Again, customer service was AWESOME!!!  The enter process was smooth. Approval went fast.  I was kept up to date every step of the way.",5
Jackeye Ryals,MRS TANGY. She made our experience easy and fast and was beyond helpful. She was so nice and I could call her with any questions and she got right on it to give me a answer.,5
Paul Monroe,"Very professional, have all your questions answered, they outline the loan, so you understand everything, plus you receive the money same day, it's a win win for you.",5
Carl Bethke,"My experience was exceptional, the staff was knowledgeable, friendly, and no pressure. I have used One Main twice before and the same service was given every time.",5
June P Lewis,It was a pleasure working with Teresa McClellan in your Gainesville Office. She was very clear in her explanations of the loan and the process. Thanks Teresa!,5
Jacqueline Greene,You have a staff to be proud of the top branch in Mentor Ohio. They explained everything in detail step-by-step and we’re very professional yet so friendly!,5
Thelma Bennett,"This is a great company, they met all of my needs I had a great experience with the company.  Excellent customer service, did well.",5
IRMA AVALOS,The process was quick and everything was done over the phone.  Very Friendly rep.  Money was deposited within a day.   Will recommend!,5
Michael Castro,Everything was done efficiently and the loan officer was fast to structure the loan and explained everything and was very friendly.,5
Ted Williams,The people were great. They were efficient and friendly.  The process was smooth. Doris and Kim helped me. The teamwork was great!,5
A. Miller,It was an awesome experience and I never had to leave my home to sign the papers or get my money.  It was an easy experience!,5
Toris L. Jones,"Do not, I repeat do not get a loan from this company. I was wondering why my loan amount was not going down till I looked at my receipt. on a loan of $8475, I make a payment of $247.84 and the receipt shows $2.14 went to principle and $245.70 went to interest. This should be against the law. I think I need to get an attorney. SMH",1
scolton,"Quality Customer ServiceMy homeowner's insurance was canceled due to my location in South Florida.  My agent found me another policy, but the price was doubled!  I paid for 2 inspections on my home and accepted that policy. 30 days later, it too was canceled due to needed roof repairs. One Main Financial assisted me in funding those roof repairs and my policy was reinstated in time for hurricane season!  Thank you One Main Financial!",5
Rayven Rojas,Was very fast and easy to apply for the loan I needed. Very please and Lindsey was kind and made the process easy!,5
Marcelo Aman,My experience was great because One Main had many loan options to chose from. This very convinient.,5
Scott Lumb,The easiest refinance you could ever talk about And I was able to do everything from the comfort of my own home,5
Pedro Rodriguez Guerreo,"Although I was finally able to resolve my loan, I felt a little frustrated because the process was too complicated. I did not speak English, and although I asked to be served at another branch where they speak Spanish and on another occasion, I had already received a loan, they replied that it was not possible and on the phone only once did I have an interpreter to assist me. Similarly, on the day of signing the documents they told me, there would be someone who would interpret for me in Spanish to help me, but there was no interpreter. The person who assisted me on the day of the signing also told me that in the end, they would give me the printed loan documents, and to date, I do not have them.I have always received good attention from OneMain, this is the first time that these setbacks have happened to me.",4
Ernestine Treadwell,"The agent was so professional, he had a great personality, and made my experience great. Thank you so much!",5
Robert Rogers Jr,Caring people! It was just great experiencing the professionalism and caring attitudes of all involved.,5
Alicia,"The lady that was working on my application the first time was rude. She would hang up really fast, she questioned me like I was a child. She just wasn’t helpful at all. Her name is Veronica. The manager Jerome called me back and finished my application and was very helpful. He did explain they was short handed and had new staff trying to explain why Veronica was rushing and not very helpful. But that is no excuse of how she treated me",1
