,Title,year,note
0,12 hommes en colère,1957,8.7
1,Harakiri,1962,8.6
2,Barberousse,1965,8.5
3,"Le Bon, la Brute et le Truand",1966,8.5
4,Les Sept Samouraïs,1954,8.5
5,Il était une fois dans l'Ouest,1968,8.5
6,Il était une fois en Amérique,1984,8.5
7,Le Parrain,1972,8.5
8,Le Trou,1960,8.4
9,Point limite,1964,8.4
10,Entre le ciel et l'enfer,1963,8.4
11,Le Voyage de Chihiro,2001,8.4
12,Princesse Mononoké,1997,8.4
13,L'Aurore,1927,8.4
14,Dersou Ouzala,1975,8.4
15,Sherlock Junior,1924,8.4
16,Vol au-dessus d'un nid de coucou,1975,8.4
17,Pour Sama,2019,8.3
18,Parasite,2019,8.3
19,Pulp Fiction,1994,8.3
20,Apocalypse Now,1979,8.3
21,Le Parrain : 2e Partie,1974,8.3
22,Le Dictateur,1940,8.3
23,La Femme des sables,1964,8.3
24,Psychose,1960,8.3
25,Voyage au bout de l'enfer,1978,8.3
26,Soy Cuba,1964,8.3
27,Sátántangó – Le Tango de Satan,1994,8.3
28,Andreï Roublev,1966,8.2
29,Les Affranchis,1990,8.2
30,Boulevard du crépuscule,1950,8.2
31,Le Tombeau des lucioles,1988,8.2
32,Requiem pour un massacre,1985,8.2
33,Rendez-vous,1940,8.2
34,Quand passent les cigognes,1957,8.2
35,La Foule,1928,8.2
36,Rébellion,1967,8.2
37,Les Enfants du paradis,1945,8.2
38,Ève...,1950,8.2
39,L'Intendant Sansho,1954,8.2
40,La vie est belle,1946,8.2
41,Jeux dangereux,1942,8.2
42,La Parole,1955,8.2
43,Les Temps modernes,1936,8.2
44,Les Lumières de la ville,1931,8.2
45,Gentleman Jim,1942,8.2
46,M le maudit,1931,8.2
47,Le Limier,1972,8.2
48,Metropolis,1927,8.2
49,Les Sentiers de la gloire,1957,8.2
50,Stalker,1979,8.2
51,Fanny et Alexandre,1982,8.2
52,Fight Club,1999,8.2
53,Fenêtre sur cour,1954,8.2
54,Barry Lyndon,1975,8.1
55,Memories of Murder,2003,8.1
56,La Nuit du chasseur,1955,8.1
57,Le Kid,1921,8.1
58,La Vérité,1960,8.1
59,Un voyage avec Martin Scorsese à travers le cinéma américain,1995,8.1
60,L'Armée des ombres,1969,8.1
61,La Colline des hommes perdus,1965,8.1
62,Shining,1980,8.1
63,L'Empire contre-attaque,1980,8.1
64,Les Diaboliques,1955,8.1
65,Persona,1966,8.1
66,Vivre,1952,8.1
67,Le Joli Mai,1963,8.1
68,Les Nibelungen,1924,8.1
69,Alien : Le 8ème Passager,1979,8.1
70,Furie,1936,8.1
71,L'enfer est à lui,1949,8.1
72,Le Seigneur des Anneaux : Le Retour du roi,2003,8.1
73,Old Boy,2003,8.1
74,Les salauds dorment en paix,1960,8.1
75,Sueurs froides,1958,8.1
76,Chantons sous la pluie,1952,8.1
77,Autopsie d'un meurtre,1959,8.1
78,De Nuremberg à Nuremberg,1989,8.1
79,Les Évadés,1994,8.1
80,L'Impasse,1993,8.1
81,Le Mécano de la « General »,1926,8.1
82,Paris Is Burning,1991,8.1
83,"Onibaba, les tueuses",1964,8.1
84,La Bataille de Tchernobyl,2006,8.1
85,Seven,1995,8.1
86,La Liste de Schindler,1993,8.1
87,Une journée particulière,1977,8.1
88,Les Chaussons rouges,1948,8.1
89,Sans soleil,1983,8.1
90,Faust,1926,8.1
91,Leçons de Ténèbres,1992,8.1
92,L'Homme qui tua Liberty Valance,1962,8.1
93,Koyaanisqatsi,1983,8.1
94,L'Opérateur,1928,8.1
95,Whiplash,2014,8.0
96,Elephant Man,1980,8.0
97,Freaks - La Monstrueuse Parade,1932,8.0
98,"Paris, Texas",1984,8.0
99,Citizen Kane,1941,8.0
100,La Garçonnière,1960,8.0
101,Voyage à Tokyo,1953,8.0
102,L'Aventure de Mme Muir,1947,8.0
103,Le 13e,2016,8.0
104,Blitz Wolf,1942,8.0
105,Mr. Smith au Sénat,1939,8.0
106,Shoah,1985,8.0
107,La Fille de Ryan,1970,8.0
108,Nous avons gagné ce soir,1949,8.0
109,Le Seigneur des Anneaux : La Communauté de l'anneau,2001,8.0
110,Le Salaire de la peur,1953,8.0
