reply_negative_positive
"Hi Chauncey,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Dear Nikita Childers,Thank you for choosing CashNetUSA, America's trusted online lender.If you have any questions or concerns, our customer support team is available seven days a week to help answer all your questions via phone, email or online chat.CashNetUSA Customer SupportPhone: 888.627.6463 Email: loc_support@cashnetusa.comwww.CashNetUSA.com"
"Hi Jeff,We are sorry to hear about your frustration. We aim to make applying for a Line of Credit simple and transparent from start to finish. The terms of your Line of Credit are outlined within your contract and presented to you prior to funding.If you have any questions regarding the terms of your Line of Credit, the contract is also available for your review when you sign into your account.If you still have questions, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Debra,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Totty,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Bo,We’re sorry to hear that you weren’t satisfied with your repayment terms. Our customers are presented with their complete offer details before signing the contract.  To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi JT,Many factors go into determining your eligibility and you can always check your eligibility by logging into your account at CashNetUSA.com. If you are not eligible today, you may still become eligible in the future!"
"Hi Crystal,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi  Cieairo ,We’re sorry to hear that you weren’t satisfied with your CashNetUSA customer service experience. To discuss further with another member of the team, please contact our dedicated CashNetUSA Customer Service line at (888) 801-9075."
"Hi Doses,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Deperica,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Lorraine,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Birdene,We’re sorry that we didn’t meet your expectations. To discuss further with a member of the team, please contact our dedicated CashNetUSA Customer Service line at (888) 801-9075."
"Hi James,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Lucille,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Dear Sonya Richardson,Thank you for choosing CashNetUSA, America's trusted online lender.If you have any questions or concerns, our customer support team is available seven days a week to help answer all your questions via phone, email or online chat.CashNetUSA Customer SupportPhone: 888.627.6463 Email: loc_support@cashnetusa.comwww.CashNetUSA.com"
"Hi Jessica,State and federal regulations require us to hold onto customer information submitted to us for set periods of time. If you need further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
In response to your request regarding the reason for decline. Please provide additional information in order for us to locate your account.
"Dear CODY BASTION,This email confirms that we have closed your Line of Credit at your request. Upon closure of your Line of Credit, you will no longer be able to take Advances on this credit line. In order to withdraw funds you will have to apply for a new Line of Credit.If you have any questions or concerns, our Customer Support Team is available seven days a week to help answer all your questions via phone or email.CashNetUSA Customer Support Phone:(888)627-6463 Email: loc_support@cashnetusa.comwww.CashNetUSA.com"
"Hi Timothy,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Jennifer,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Danny,Many factors go into determining your eligibility and you can always check your eligibility by logging into your account at CashNetUSA.com. If you are not eligible today, you may still become eligible in the future!"
"Hi Tawny,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"In response to your recent inquiry, our records indicate you currently have a Flex Loan issued under Tennessee terms. The Flex Loan is a credit line in which you can borrow as much as you want, up to the approved credit limit, whenever you want, as long as your minimum payments are made and your account is in good standing. With the exclusive Flex Loan product, you have multiple payment options. You can choose between making just a Minimum Payment, making additional payments, or paying in full. Making additional payments or paying the balance earlier helps reduce the interest and possibly the charges you pay. With the Flex Loan, you have much more control. Keep in mind, if your account balance is $0 then you owe $0 and your Flex Loan remains open for a long time. As long as you do not miss any payments and your account is not past due, you will be able to request advances up to your credit limit. Keep in mind, as you repay principal, more of your credit line will be available for advance requests.Under the terms of your Flex Loan, you are charged a customary fee of .69% of your principal outstanding balance, multiplied by the number of days in your billing cycle. In addition, you are charged periodic interest. The periodic interest rate is 24%. The APR is based on the periodic interest rate and the customary fee rate used to compute finance charges on the cash advances. The APR is 278.85%. This information can be reviewed by logging into your account online at www.cashnetusa.com and reviewing your contract.Minimum payments are due on your pay dates. Minimum payments will be calculated as follows:Biweekly and twice monthly customers:The greater of the following:5% x Principal +  (Accrued Interest + Customary Fees)5% of the Customer's Credit LimitThe payment will never be greater than $450 or the accrued interest + fees, whichever is greater.The due date and minimum payment amount will be shown on each periodic statement available online at www.cashnetusa.com at the close of each billing cycle."
"Hi John,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com"
"Hi Rt,Many factors go into determining your eligibility and you can always check your eligibility by logging into your account at CashNetUSA.com. If you are not eligible today, you may still become eligible in the future!"
"Hi Antonia, CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Karosiea,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"In response to your recent inquiry, our records indicate you currently have a Line of Credit issued under Missouri terms.  A Line of Credit is a credit line in which you can borrow as much as you want, up to the approved credit limit, whenever you want, as long as your minimum payments are made and your account is in good standing. With the exclusive Line of Credit product, you have multiple payment options.  You can choose between making just a Minimum Payment, making additional payments, or paying in full.  Making additional payments or paying the balance earlier helps reduce the interest and possibly the charges you pay.  With the Line of Credit, you have much more control.  Keep in mind, if your account balance is $0 then you owe $0 and your Line of Credit remains open for a long time. As long as you do not miss any payments and your account is not past due, you will be able to request advances up to your credit limit.  Keep in mind, as you repay the principal, more of your credit line will be available for advance requests.The APR on your Line of Credit is 325% or a 0.8904% daily periodic rate.Minimum payments are due according to your pay frequency and will be calculated as follows:The Minimum Payment due each payment due date for monthly billing cycles will be all interest accrued at the end of the prior billing period, plus 10% of the total of: (i) the outstanding Principal Balance; and (ii) any fees. However, your Minimum Payment will never be less than 10% of your credit limit. Your Minimum Payment will never be greater than $800 or the accrued interest, whichever is greater."
"Hi Daniel, CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Jeff, Please contact our customer service team for help with your questions: https://www.cashnetusa.com/contact-us.html"
"Hi Meike,We’re sorry to hear that you’ve had trouble with your account. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Tweet,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi William, All of our loan terms are reviewed by our legal team and are subject to all applicable state laws, which we follow. We are grateful that we are able to serve our customers when they need it most."
"Hi Cissie,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Emily,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075"
"Hi Ericka,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi James,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Randy,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"In response to your recent inquiry, our records indicate you currently have a Line of Credit issued under South Carolina terms.Under South Carolina regulations, interest accrues daily on your Line of credit. The APR on your Line of Credit is 325% (current principal only) or a Daily Periodic Rate: 0.8904%.  You may review these terms by logging into your account online at www.cashnetusa.com and reviewing your contract.Minimum Payment for Monthly Billing CyclesThe Minimum Payment due each payment due date for monthly billing cycles will be all interest accrued at the end of the prior billing period, plus 10% of the total of: (i) the outstanding Principal Balance; and (ii) any fees. However, your Minimum Payment will never be less than 10% of your credit limit. Your Minimum Payment will never be greater than $800 or the accrued interest, whichever is greater."
"Hi Kaby,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Fuller,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Ro,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Stephen,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Will,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Brandon, We’re sorry to hear that you weren’t satisfied with your CashNetUSA experience and we would like to see how we can help you. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Annette,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Rich,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Casundra ,We’re sorry to hear that you weren’t satisfied with your repayment terms.CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Brandon,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Gardner,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Lisa,We’re sorry to hear that you weren’t satisfied with your repayment terms. CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"In response to your recent inquiry, we apologize, but at this time CashNetUSA cannot provide you with a cash advance. For privacy reasons we are not able to see the specific reason for why your application was declined, but you will receive an official statement from CashNetUSA within 30 days from the date that your application was declined. If you would like additional information, you may submit a written request to the address provided below. We apologize for any inconvenience this may have caused.CashNetUSAAttn: Compliance Department175 W. Jackson Blvd, 10th FloorChicago, IL 60604"
"Hi John,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi George,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Tawnee,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Pamela,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi Tommy,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"In response to your most recent experience. We sincerely apologize for any inconveniences. The $30 non-sufficient funds fee assessed as a result of the debit on 8-31-2022 will be refunded, please allow 2 to 3 business days for the receipt."
"Hi Charles,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Carol,We’re sorry to hear that you’ve had trouble with your account. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Annie,We’re sorry to hear that you weren’t satisfied with your repayment terms. We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi Sunny,We’re sorry to hear that you weren’t satisfied with your repayment terms. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Burton,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Rick,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Vanessa,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Sean,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi amilya,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Katerina,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi louis,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi customer,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi John,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
"Hi Derrick,Please contact our customer service team for help with your questions: https://www.cashnetusa.com/contact-us.html"
"Hi Cote,Many factors go into determining your eligibility and you can always check your eligibility by logging into your account at CashNetUSA.com. If you are not eligible today, you may still become eligible in the future!"
"Dear William Davenport,Thank you for choosing CashNetUSA, America's trusted online lender.If you have any questions or concerns, our customer support team is available seven days a week to help answer all your questions via phone, email or online chat.CashNetUSA Customer SupportPhone: 888.627.6463 Email: loc_support@cashnetusa.comwww.CashNetUSA.com"
"Hi Tracey,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Veronica,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi Kent,We’re sorry to hear that you weren’t satisfied with your repayment terms.CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Gaynelle,Please contact our customer service team for help with your concern and questions for assistance : https://www.cashnetusa.com/contact-us.html"
"Hi Joshua,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Linda,Thank you for taking the time to share your experience!"
"Hi Lisa,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"As of 6/28/2022, CashNetUSA is no longer offering any new Payday loans in Maine. We are focusing on longer term products such as Line of Credit and Installment to provide fast and convenient access to credit. We apologize for any inconvenience."
"Hi Big C,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Ray,Many factors go into determining your eligibility and you can always check your eligibility by logging into your account at CashNetUSA.com. If you are not eligible today, you may still become eligible in the future!"
"Hi Karen,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Volonda,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Vicky,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Vicky,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Mark,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Terri,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Becca Jane,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi  Sylvia,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Thomas,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and concerns, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Forrest ,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Angelle,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi Blue ,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Anthony,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Russell,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Russell,We’re sorry to hear that you weren’t satisfied with your repayment terms. For any questions or to discuss your loan, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Duggie,CashNetUSA works to match our customers with our best possible offer based on their financial eligibility. Our customers are presented with their complete offer details before signing the contract. If you have a question about your specific offer, feel free to contact us at https://www.cashnetusa.com/contact-us.html"
"Hi Reggie,Please contact our customer service team for help with your questions: https://www.cashnetusa.com/contact-us.html"
"Hi Donnie,We appreciate your feedback and understand that not everyone’s financial situation is the same. Our mission is to provide opportunities for consumers to get fast and easy access to the credit they may not find with other lenders."
"Hi Holly,We’re sorry to hear that you weren’t satisfied with your repayment terms. To discuss your loan and your options, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075."
"Hi Deb,We’re sorry to hear that you had a bad experience, and want to thank you for providing valuable feedback. For further assistance, please contact our dedicated CashNetUSA Customer Service team at (888) 801-9075 or via email at support@cashnetusa.com."
