Title,reviews,stars,sentiment
So...it was simple and quick,"So...it was simple,quick,and informative. I already have a date for my funds to be deposited,and a breakdown of my payments,including dollar amount,dates,and length of contract. Personally, I find no issues that could be improved upon.. easy for me to recommend this service to anybody looking for a loan",5,1
Highly recommend,"Outta all the loans I’ve gotten, this has been the most amazing costumer service, understandable staff, they helped me fixed my payment schedule for me when I’ve gotten sick, very very good highly recommended.",5,1
Very fast response time,Very fast response time. Hassle free application process. Overall great company. Will definitely recommend to friends and family and will be using them again if I ever get in another bind and need quick cash.,5,1
This was the most easiest and hassle…,This was the most easiest and hassle free loan that I have ever had! Any issues that I may have had were an easy fix with just one call to customer service and they resolved my issue quickly as they could!,5,1
Asking for money that will be paid back promptly,I called cash net after one day after filing for help from cash net. I have received offers from cash net before yet had not filed because yet while times were hard I wasn't sure that I could pay it back  I spoke with Alexis and she patiently waited for me to provide the desired information for a loan  thank you very much for helping me and my daughter.,5,1
Paid loan off in 46 days,"They loaned me $2200 with a payment of $365, made first payment and found only $35 went to principal, so I called to pay it off and paid an additional $2398 only 46 days of a loan and paid $500+ for this rescue loan. 300% interest?",3,1
Amazing Customer Service Experience,"I had an amazing customer service experience! I spoke with such a nice lady who was eager and happy to help me, I felt like she genuinely cared about answering my questions and I ended the phone call feeling even more confident about using CashnetUSA!!",5,1
Anita,"Anita, was GREAT! She answered all my questions that needed to be answered. She did it in a professional way, I understood what she was saying. Just a pleasure to talk to.",5,1
HAPPY,There wasn't a wait for my money and everything that was explained to me happened accordingly. I would recommend Cashnet to everyone!!!,5,1
"I have dealt with CashNet USA twice, and each time I had a great experience with them. Whenever I applied, they always did things quick. I'm very satisfied with them. I would recommend a friend.","Whenever I applied, they always did things quick. They made sure you knew your information. Great experience!",5,1
It was a very easy experience,It was a very easy experience. Was very efficient with getting ab approval fast and funds the next day.,5,1
